request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_49,20228793.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-22. None of the available options keeps the IDR 20,275,700.0 minimum protected."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.0,2025-08-06,none,"Pay INR 43,900.0 today. This keeps the INR 99,700.0 minimum protected over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,"Pay IDR 2,191,000.0 today. This keeps the IDR 7,811,000.0 minimum protected over the next 90 days."
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870.0,2024-06-05,none,"Pay INR 28,870.0 today. This keeps the INR 41,500.0 minimum protected over the next 90 days."
request_53,1423.42,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-20. None of the available options keeps the USD 2,100.0 minimum protected."
request_54,16581.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37,000.0 minimum protected."
request_55,176241.19,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-22. None of the available options keeps the INR 124,300.0 minimum protected."
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,"Use 2 installments starting 2025-02-03. This completes the USD 881.56 request and keeps the USD 2,100.0 minimum protected."
request_57,21214.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the ZAR 42,700.0 minimum protected."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.0,2024-12-07,none,"Pay IDR 16,226,000.0 today. This keeps the IDR 14,433,900.0 minimum protected over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments starting 2025-05-07. This completes the INR 140,600.0 request and keeps the INR 132,600.0 minimum protected."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This keeps the USD 400.0 minimum protected over the next 90 days.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments starting 2024-03-17. This completes the ZAR 29,062.0 request and keeps the ZAR 36,700.0 minimum protected."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This keeps the USD 1,300.0 minimum protected over the next 90 days."
request_63,90145.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-17. None of the available options keeps the INR 153,500.0 minimum protected."
request_64,60233.01,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-16. None of the available options keeps the INR 36,100.0 minimum protected."
request_65,13024.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 15,500.0 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.0,2026-04-03,none,"Pay INR 22,200.0 today. This keeps the INR 80,700.0 minimum protected over the next 90 days."
request_67,792.54,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the USD 1,200.0 minimum protected."
request_68,2091.6,affordable_later,wait,2025-02-07:2091.6,2025-02-07,none,"Pay USD 2,091.6 in full on 2025-02-07. Paying earlier would take the balance below the USD 1,500.0 minimum."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today. This keeps the EUR 700.0 minimum protected over the next 90 days.
request_70,93360.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the INR 115,000.0 minimum protected."
request_71,7485050.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8,884,800.0 minimum protected."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330.0,2026-07-05,none,"Pay ZAR 11,330.0 today. This keeps the ZAR 12,200.0 minimum protected over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400.0,2023-01-20,none,"Pay INR 71,400.0 today. This keeps the INR 103,200.0 minimum protected over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.0,2025-08-04,none,"Pay ZAR 5,010.0 today. This keeps the ZAR 21,900.0 minimum protected over the next 90 days."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments starting 2026-04-09. This completes the ZAR 28,270.0 request and keeps the ZAR 39,000.0 minimum protected."
request_76,1538.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the USD 1,800.0 minimum protected."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.0,2025-11-05,none,"Pay INR 60,700.0 today. This keeps the INR 82,200.0 minimum protected over the next 90 days."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200.0,2025-10-02,none,"Pay INR 50,200.0 today. This keeps the INR 55,200.0 minimum protected over the next 90 days."
request_79,1104.08,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-01. None of the available options keeps the EUR 1,000.0 minimum protected."
request_80,152115.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-21. None of the available options keeps the INR 121,300.0 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.0,2026-07-03,none,"Pay USD 2,076.0 today. This keeps the USD 1,600.0 minimum protected over the next 90 days."
request_82,1011.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,100.0 minimum protected."
request_83,28330.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-17. None of the available options keeps the INR 37,800.0 minimum protected."
request_84,56565.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the INR 91,300.0 minimum protected."
request_85,2422120.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-26. None of the available options keeps the IDR 6,396,300.0 minimum protected."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.0,2025-08-03,none,"Pay INR 46,300.0 today. This keeps the INR 84,900.0 minimum protected over the next 90 days."
request_87,92850.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 185,900.0 minimum protected."
request_88,15557.89,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-25. None of the available options keeps the ZAR 25,800.0 minimum protected."
request_89,13756000.0,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-04,none,"Use 3 installments starting 2025-11-18. This completes the IDR 13,756,000.0 request and keeps the IDR 12,534,700.0 minimum protected."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.0,2026-07-06,none,"Pay ZAR 2,560.0 today. This keeps the ZAR 7,600.0 minimum protected over the next 90 days."
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.2,2024-09-03,none,"Pay EUR 1,927.2 today. This keeps the EUR 2,100.0 minimum protected over the next 90 days."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.0,2025-02-05,none,"Pay ZAR 34,034.0 today. This keeps the ZAR 28,100.0 minimum protected over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.2 today. This keeps the USD 1,900.0 minimum protected over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572.0,2024-12-04,none,Pay EUR 572.0 today. This keeps the EUR 600.0 minimum protected over the next 90 days.
request_95,137865.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-14. None of the available options keeps the INR 145,500.0 minimum protected."
request_96,90200.0,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-03,none,"Use 3 installments starting 2026-01-10. This completes the INR 90,200.0 request and keeps the INR 56,500.0 minimum protected."
request_97,8865.89,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-24. None of the available options keeps the ZAR 29,700.0 minimum protected."
request_98,17244.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-15. None of the available options keeps the ZAR 30,000.0 minimum protected."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.0,2026-07-04,none,"Pay ZAR 18,062.0 today. This keeps the ZAR 49,100.0 minimum protected over the next 90 days."
request_100,34836.13,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-16. None of the available options keeps the ZAR 32,500.0 minimum protected."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.0,2025-11-03,none,"Pay INR 143,500.0 today. This keeps the INR 187,400.0 minimum protected over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments starting 2026-04-05. This completes the EUR 1,716.0 request and keeps the EUR 900.0 minimum protected."
request_103,35759.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-07. None of the available options keeps the INR 125,500.0 minimum protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.0,2025-02-04,none,"Pay ZAR 17,204.0 today. This keeps the ZAR 24,700.0 minimum protected over the next 90 days."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.0,2026-06-08,none,"Pay INR 53,500.0 today. This keeps the INR 73,900.0 minimum protected over the next 90 days."
request_106,1401.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the EUR 1,200.0 minimum protected."
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,"Use 3 installments starting 2025-05-08. This completes the EUR 2,534.4 request and keeps the EUR 1,600.0 minimum protected."
request_108,7836.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24,100.0 minimum protected."
request_109,1276.46,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-26. None of the available options keeps the EUR 1,700.0 minimum protected."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments starting 2025-08-06. This completes the ZAR 22,352.0 request and keeps the ZAR 11,200.0 minimum protected."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.0,2026-04-03,none,"Pay IDR 16,625,000.0 today. This keeps the IDR 23,022,800.0 minimum protected over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.7 today. This keeps the EUR 500.0 minimum protected over the next 90 days.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500.0,2026-09-04,none,"Pay INR 36,500.0 today. This keeps the INR 82,300.0 minimum protected over the next 90 days."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300.0,2026-01-04,none,"Pay INR 65,300.0 today. This keeps the INR 113,400.0 minimum protected over the next 90 days."
request_115,27135.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the INR 38,800.0 minimum protected."
request_116,58075.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. None of the available options keeps the INR 80,300.0 minimum protected."
request_117,880.0,affordable_now,full_payment,2026-07-05:880.0,2026-07-05,none,"Pay EUR 880.0 today. This keeps the EUR 1,000.0 minimum protected over the next 90 days."
request_118,738.1,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,Use 3 installments starting 2024-12-07. This completes the EUR 738.1 request and keeps the EUR 600.0 minimum protected.
request_119,130901.01,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-17. None of the available options keeps the INR 151,200.0 minimum protected."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.0,2026-04-06,none,"Pay IDR 7,714,000.0 today. This keeps the IDR 20,050,300.0 minimum protected over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. This keeps the USD 800.0 minimum protected over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments starting 2025-08-05. This completes the IDR 20,558,000.0 request and keeps the IDR 12,588,500.0 minimum protected."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.0,2026-01-07,none,"Pay IDR 4,076,000.0 today. This keeps the IDR 18,091,200.0 minimum protected over the next 90 days."
request_124,2049.56,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-20. None of the available options keeps the EUR 1,600.0 minimum protected."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468.0,2025-11-06,none,"Pay ZAR 6,468.0 today. This keeps the ZAR 11,300.0 minimum protected over the next 90 days."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.0,2026-07-03,none,"Pay INR 159,600.0 today. This keeps the INR 129,700.0 minimum protected over the next 90 days."
request_127,23980.0,affordable_now,full_payment,2024-09-05:23980.0,2024-09-05,none,"Pay ZAR 23,980.0 today. This keeps the ZAR 41,000.0 minimum protected over the next 90 days."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.0,2025-02-07,none,"Pay ZAR 25,168.0 today. This keeps the ZAR 42,600.0 minimum protected over the next 90 days."
request_129,288.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800.0 minimum protected.
request_130,917.46,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,400.0 minimum protected."
request_131,1855.2,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-03,none,"Use 3 installments starting 2025-05-06. This completes the USD 1,855.2 request and keeps the USD 1,100.0 minimum protected."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 today. This keeps the USD 1,100.0 minimum protected over the next 90 days."
request_133,15770000.0,affordable_later,wait,2024-03-07:15770000.0,2024-03-07,none,"Pay IDR 15,770,000.0 in full on 2024-03-07. Paying earlier would take the balance below the IDR 9,986,200.0 minimum."
request_134,12118200.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-15. None of the available options keeps the IDR 15,902,500.0 minimum protected."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today. This keeps the USD 500.0 minimum protected over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,"Pay USD 560.4 today. This keeps the USD 1,100.0 minimum protected over the next 90 days."
request_137,67960.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the INR 71,800.0 minimum protected."
request_138,1238.65,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-05. None of the available options keeps the EUR 2,300.0 minimum protected."
request_139,2185.84,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-17. None of the available options keeps the USD 1,500.0 minimum protected."
request_140,11074.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21,600.0 minimum protected."
request_141,51435.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-12. None of the available options keeps the INR 67,300.0 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.6 today. This keeps the USD 1,700.0 minimum protected over the next 90 days."
request_143,8384.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-15. None of the available options keeps the ZAR 11,300.0 minimum protected."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This keeps the USD 600.0 minimum protected over the next 90 days.
request_145,105613.66,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-26. None of the available options keeps the INR 155,400.0 minimum protected."
request_146,81465.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-17. None of the available options keeps the INR 108,600.0 minimum protected."
request_147,741.53,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-07. None of the available options keeps the EUR 900.0 minimum protected.
request_148,13181.08,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-18. None of the available options keeps the ZAR 20,000.0 minimum protected."
request_149,36652.0,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-04,none,"Use 3 installments starting 2025-11-18. This completes the ZAR 36,652.0 request and keeps the ZAR 42,100.0 minimum protected."
request_150,496.1,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-06,none,Use 3 installments starting 2026-01-06. This completes the EUR 496.1 request and keeps the EUR 700.0 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.0,2024-09-03,none,"Pay IDR 26,999,000.0 today. This keeps the IDR 31,633,600.0 minimum protected over the next 90 days."
request_152,13882.0,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-05,none,"Use 3 installments starting 2025-02-12. This completes the ZAR 13,882.0 request and keeps the ZAR 11,900.0 minimum protected."
request_153,503.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-24. None of the available options keeps the USD 1,400.0 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments starting 2024-12-04. This completes the EUR 1,625.8 request and keeps the EUR 1,300.0 minimum protected."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500.0,2025-05-06,none,"Pay INR 112,500.0 today. This keeps the INR 56,300.0 minimum protected over the next 90 days."
request_156,13588.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the ZAR 26,900.0 minimum protected."
request_157,10091850.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 15,714,100.0 minimum protected."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments starting 2025-08-07. This completes the INR 242,600.0 request and keeps the INR 131,400.0 minimum protected."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.0,2026-01-04,none,"Pay ZAR 13,398.0 today. This keeps the ZAR 8,700.0 minimum protected over the next 90 days."
request_160,857.61,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-20. None of the available options keeps the EUR 1,200.0 minimum protected."
request_161,17241550.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23,010,400.0 minimum protected."
request_162,8601300.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-26. None of the available options keeps the IDR 24,161,100.0 minimum protected."
request_163,19304000.0,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-07,none,"Use 3 installments starting 2024-09-10. This completes the IDR 19,304,000.0 request and keeps the IDR 26,728,700.0 minimum protected."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240.0|2025-03-11:9366240.0|2025-04-08:9366240.0,2025-02-04,none,"Use 3 installments starting 2025-02-11. This completes the IDR 27,018,000.0 request and keeps the IDR 29,550,500.0 minimum protected."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.0,2026-04-06,none,"Pay INR 80,600.0 today. This keeps the INR 95,000.0 minimum protected over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments starting 2024-12-03. This completes the USD 2,907.6 request and keeps the USD 1,700.0 minimum protected."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.0,2025-05-05,none,"Pay ZAR 43,802.0 today. This keeps the ZAR 31,200.0 minimum protected over the next 90 days."
request_168,49380.0,affordable_later,wait,2026-01-07:49380.0,2026-01-07,none,"Pay INR 49,380.0 in full on 2026-01-07. Paying earlier would take the balance below the INR 114,400.0 minimum."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.0,2024-03-04,none,"Pay ZAR 41,976.0 today. This keeps the ZAR 18,700.0 minimum protected over the next 90 days."
request_170,36936000.0,affordable_with_plan,installments,2025-08-06:12804480.0|2025-09-03:12804480.0|2025-10-01:12804480.0,2025-08-06,none,"Use 3 installments starting 2025-08-06. This completes the IDR 36,936,000.0 request and keeps the IDR 24,715,800.0 minimum protected."
request_171,310.65,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500.0 minimum protected.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304.0|2024-07-03:5304.0,2024-06-05,none,"Use 2 installments starting 2024-06-05. This completes the ZAR 10,200.0 request and keeps the ZAR 27,200.0 minimum protected."
request_173,83190.53,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-17. None of the available options keeps the INR 79,100.0 minimum protected."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments starting 2026-04-04. This completes the EUR 1,146.2 request and keeps the EUR 700.0 minimum protected."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.3 today. This keeps the EUR 1,700.0 minimum protected over the next 90 days."
request_176,686.95,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-27. None of the available options keeps the EUR 600.0 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.6 today. This keeps the USD 1,300.0 minimum protected over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments starting 2024-12-07. This completes the EUR 2,938.1 request and keeps the EUR 1,400.0 minimum protected."
request_179,37957250.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-15. None of the available options keeps the IDR 41,430,800.0 minimum protected."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500.0,2026-07-06,none,"Pay INR 66,500.0 today. This keeps the INR 37,300.0 minimum protected over the next 90 days."
request_181,1141.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-07. None of the available options keeps the USD 2,000.0 minimum protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.0,2025-08-05,none,"Pay ZAR 65,714.0 today. This keeps the ZAR 31,100.0 minimum protected over the next 90 days."
request_183,26866000.0,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-07,none,"Use 3 installments starting 2026-04-10. This completes the IDR 26,866,000.0 request and keeps the IDR 11,878,300.0 minimum protected."
request_184,47540.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the INR 110,800.0 minimum protected."
request_185,783.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the EUR 1,300.0 minimum protected."
request_186,22863.5,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the ZAR 22,000.0 minimum protected."
request_187,67435.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the INR 128,300.0 minimum protected."
request_188,585.3,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the EUR 900.0 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 today. This keeps the EUR 400.0 minimum protected over the next 90 days.
request_190,1555.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the EUR 1,600.0 minimum protected."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.4 today. This keeps the EUR 500.0 minimum protected over the next 90 days.
